debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,Pengusaha,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,Pengusaha,UD Hidayat,+62 (808) 299 5117
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai mati,Buruh,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,Pengusaha,Perum Handayani Najmudin Tbk,+62 (737) 295-9765
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",06297,1,1,Cerai hidup,Pegawai Swasta,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Cerai mati,Profesional,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Cerai mati,Pengusaha,PD Prasasta,+62 (341) 825-3002
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",00178,7,12,Cerai mati,Pengusaha,CV Puspita,+62 (648) 648 2240
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Cerai hidup,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Belum menikah,Profesional,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,"Gang Rajiman No. 55
Pekalongan, YO 06619",06619,11,4,Cerai mati,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,"Gg. Pasteur No. 9
Parepare, KB 05195",05195,6,16,Menikah,Buruh,PT Dabukke Aryani,+62-0592-583-1360
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,"Gang Sukabumi No. 05
Kupang, PB 02343",02343,6,15,Menikah,Buruh,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,Pegawai Swasta,PT Maheswara,+62 (957) 550-8561
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Belum menikah,Buruh,PD Hasanah Tbk,+62 (18) 322 3046
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,Pegawai Negeri,CV Irawan Halimah Tbk,+62 (32) 236 9435
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",03928,4,10,Cerai hidup,Profesional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",04570,7,16,Cerai hidup,Pegawai Swasta,PD Maryadi Putra,+62 (035) 024 8342
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,Pegawai Negeri,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Profesional,Perum Marbun,+62 (006) 617 8123
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Cerai hidup,Pengusaha,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",09462,12,11,Cerai mati,Pegawai Swasta,PD Winarsih,+62 (028) 155-3876
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,Pegawai Negeri,PD Namaga Tbk,+62 (0969) 829-8285
